제목,언론사,날짜,본문,링크
"정의선, 현대차·모비스 주식 사들여..책임경영 강화(상보)",이데일리언론사 선정,A12면 2단,본문 추출 실패,http://www.edaily.co.kr/news/newspath.asp?newsid=03794966625706272
"[글로벌-Biz24] 현대차, 국산 코로나 진단키트 인도에 제공",글로벌이코노믹,2020.03.29.,본문 추출 실패,http://www.g-enews.com/ko-kr/news/article/news_all/202003291043162261392c02b327_1/article.html
"[부럽株] 현대차, 정의선 살 때 따라 샀더라면…",더구루,2020.03.30.,본문 추출 실패,https://www.theguru.co.kr/news/article.html?no=9761
현대차 인도 공장마저 '셧다운'…기아차도 중단 검토,TV조선언론사 선정,등록: 2020.03.23 12:58수정: 2020.03.23 13:00,"경제전체현대차 인도 공장마저 '셧다운'…기아차도 중단 검토임유진 기자등록: 2020.03.23 12:58수정: 2020.03.23 13:00/ 연합뉴스현대자동차의 인도 첸나이 공장이 코로나19 확산 우려로 가동을 중단했다.현대차에 따르면 어제 인도 정부가 코로나19 발생지역 75곳에 대한 사업장 운영 중단 조치를 내림에 따라 첸나이 공장은 차량 생산을 멈췄다. 이 공장에서는 현지 전략 모델인 크레타와 베뉴 등을 생산한다.인도에 있는 기아차의 안드라프라데시 공장은 이번 조치에 포함되지 않았지만 임직원 안전 등을 고려해 운영중단을 검토하고 있다. 안드라프라데시 공장에서는 셀토스를 생산한다.앞서 미국과 유럽에 있는 현대·기아차 공장도 코로나 확산 여파로 멈춰섰다.직원 중 확진자가 나왔던 현대차 미국 앨라배마 공장은 31일까지 휴업하고, 체코와 슬로바키아 공장은 오늘부터 2주 동안 가동을 중단한다. / 임유진 기자Copyrights ⓒ TV조선. 무단전재 및 재배포 금지",http://news.tvchosun.com/site/data/html_dir/2020/03/23/2020032390066.html
"정의선, 닷새간 현대차·현대모비스 자사주 817억 샀다",이데일리언론사 선정,2020.03.26.,본문 추출 실패,http://www.edaily.co.kr/news/newspath.asp?newsid=02555126625707256
현대차 '올 뉴 아반떼' 사전계약 첫날 1만대 돌파,아시아경제,2020.03.26.,"사전계약 하루만에 작년 月평균 판매대수 2배 달성올 뉴 아반떼(사진=현대차)AD원본보기 아이콘[아시아경제 김지희 기자] 현대자동차 '올 뉴 아반떼'가 사전계약 하루 만에 1만대를 돌파했다. 1세대 엘란트라를 포함한 역대 아반떼 가운데 가장 높은 기록이다.현대차는 지난 25일부터 사전계약을 시작한 7세대 신형 아반떼의 첫 날 계약대수가1만58대를 기록했다고 26일 밝혔다. 이는 기존 아반떼의 지난해 월 평균 판매대수(5175대)의 두 배에 육박하는 수치다.이 같은 성적은 스포츠유틸리티차량(SUV)의 인기로 최근 5년간 국산 준중형 세단 수요가 30% 이상 줄어든 가운데 이룬 성과라는 점에서 의미가 크다. 특히 최근 국내 자동차 시장은 신종 코로나바이러스감염증(코로나19) 사태로 소비심리가 크게 위축된 상황이다.현대차 관계자는 “금기를 깨는 혁신적인 디자인과 새로운 상품성을 바탕으로 합리적인 트림을 구성한 것이 고객의 기대에 부응하며 좋은 반응을 얻었다”고 말했다.신형 아반떼는 ‘파라메트릭 다이나믹스’ 테마를 바탕으로 입체적인 조형미를 살린 외관 디자인과 운전자 중심 구조로 설계된 내장 디자인이 어우러져 고객들의 호응을 이끌었다. 전방 충돌방지 보조(FCA), 차로 이탈방지 보조(LKA), 운전자 주의 경고(DAW) 등 최첨단 안전장치를 기본 적용한 점도 호평을 받고 있다.현대차는 신형 아반떼의 옵션을 다양화해 소비자의 선택권을 강화했다. ‘올 뉴 아반떼’ 모던 트림에서는 고객 선호 사양인 현대 스마트센스 I, 인포테인먼트 내비 II, 통합 디스플레이 등 10종의 인기 패키지를 모두 선택할 수 있도록 했다.김지희 기자 ways@asiae.co.krAD꼭 봐야할 주요뉴스""23년부터 추락 시작""…한국 '여권 파워' 세계 39...마스크영역尹 선고 마친 헌재, 10일엔 일반사건 선고…박성재 사건도 챙길 듯 [윤석열 파면]유시민 ""이재명, 대통령 가능성 상당…檢 유혹만 안 넘어가면 돼""술 두 캔 슬쩍하려다 '발각'…잡고 보니 프로야구 350승 전설 투수[일본人사이드]'친구랑은 좀…' 혼자만, 밤 중에만 먹는다는 '피자' 뭐길래<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>",https://view.asiae.co.kr/article/2020032609371595825
"현대차 브라질 상파울루 공장도 '셧다운'…""주정부 방침""",연합뉴스,2020/03/24 12:18 송고2020년03월24일 12시18분 송고,"김동규기자구독구독중이전다음(서울=연합뉴스) 김동규 기자 = 현대자동차[005380] 브라질 공장이 신종 코로나바이러스 감염증(코로나19) 확산 우려로 가동을 중단했다.24일 현대차에 따르면 브라질 상파울루에 있는 현대차 공장은 상파울루 주정부 방침에 따라 23일부터 다음 달 9일까지 가동을 중단하기로 했다.앞서 상파울루 주정부는 21일 비상사태를 선포하고 15일간 상거래 행위를 금지했다고 현대차는 설명했다.이에 따라 현대차를 비롯해 브라질에 진출한 제너럴모터스(GM), 폴크스바겐, BMW, 도요타, 혼다 등 대다수 자동차 공장이 가동을 중단했다.현대차 상파울루 공장은 연간 18만대의 생산능력을 갖췄으며 현대차 브라질 법인은 올해 생산능력을 3만대 늘려 21만대로 확대하겠다고 밝힌 바 있다.이미지 확대현대자동차, 브라질 상파울루 공장[연합뉴스 자료사진]dkkim@yna.co.kr제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2020/03/24 12:18 송고2020년03월24일 12시18분 송고",http://yna.kr/AKR20200324098100003?did=1195m
현대차·삼성전자·LG전자 해외공장 셧다운 도미노,한국일보,11면 3단,본문 추출 실패,http://www.hankookilbo.com/news/npath/202003271484380387?did=NA
"현대차·美앱티브, 자율주행 합작법인 설립 마무리…레벨4·5 상용화 '가속도'",한국경제TV,2020-03-27 08:37,본문 추출 실패,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202003270055&t=NN
"LG전자·현대차 등 대기업 글로벌 생산공장, '셧다운' 어디까지…",머니투데이,2020.03.27 15:58,"2020.03.27 15:58문서프린트글자크기글자크기조절가나다라마가나다라마가나다라마가나다라마가나다라마신종 코로나바이러스 감염증(코로나19) 확산 여파로 국내 대기업들의 해외 생산거점이 잇따라 ‘셧다운’(일시폐쇄) 되고 있다. 현대·기아차는 중국과 멕시코를 제외한 모든 글로벌 공장들이 모두 문을 닫는 비상 상황에 처했고, 삼성전자와 LG전자도 슬로바키아·헝가리·미국 등 해외 가전공장이 셧다운 되거나 감산에 돌입한 모습이다.━14개 해외공장 중 9곳 셧다운… 생산력 75%↓━27일 관련 업계에 따르면 현대·기아차는 전 세계 9개 국가에 14개 생산기지를 가동하고 있다. 이 중 코로나19 사태로 가동을 멈췄거나 멈출 예정인 곳은 모두 9곳이다. 현재 정상 가동 중인 현대·기아차 해외 생산기지는 중국 베이징·충칭·쓰촨·옌청 공장과 멕시코 페스케리아 공장 등 단 5곳에 그친다.이 때문에현대차(191,800원 ▼2,000 -1.03%)의 글로벌 생산능력은 국내공장(236만대)을 제외하면 314만대 수준인데 잇단 셧다운으로 이 규모가 121만대로 줄었다.기아차(89,700원 ▼1,100 -1.21%)도 국내공장(180만대)을 뺀 글로벌 생산능력이 202만대이지만 공장 가동 중단 사태로 105만대 생산에 그치고 있다. 사실상 해외공장의 75%가 놀고 있는 셈이다.구체적으로 현대차는 미국 앨라배마 공장과 인도 첸나이 공장이 오는 31일까지 휴업한다. 러시아 상트페테르부르크 공장과 체코 노소비체 공장은 다음 달 3일까지 가동을 중단한다. 브라질 삐라시까바 공장은 다음 달 9일까지 문을 닫는다. 이날부터 휴업을 시작한 터키 이즈밋 공장은 언제 재가동할지 일정도 못 잡은 상황이다.기아차도 상황은 비슷하다. 인도 안드라프라데시 공장이 오는 31일, 슬로바키아 질리나 공장이 다음 달 3일까지 문을 닫는다. 한차례 휴업을 진행했던 미국 조지아 공장도 30일부터 다음 달 10일까지 다시 가동이 중단된다.삼성전자 헝가리 생산공장. / 사진제공=삼성전자━삼성·LG도 미국·유럽 가전공장 줄줄이 셧다운━삼성전자와 LG전자도 해외 가전공장이 셧다운되거나 감산에 돌입했다.삼성전자(56,100원 ▼1,500 -2.60%)는 최근 슬로바키아 공장에 이어 헝가리 TV 공장도 가동을 일시 중단했다. 유럽은 북미와 함께 글로벌 프리미엄 TV 양대 시장인 만큼 공장 가동 중단 사태가 장기화 될 경우 실적 타격이 불가피하다. 유럽에서 판매되는 삼성전자 TV는 전량 슬로바키아와 헝가리 공장에서 생산된다.또 브라질 소재 마나우스와 캄피나스의 생산공장 2곳도 셧다운 상태다. 이재용 부회장이 올 초 방문한 이 공장들은 스마트폰과 TV를 만드는 남미의 생산거점이다.LG전자(72,800원 ▼100 -0.14%)도 이미 폴란드 TV 공장 일시 감산에 돌입한데 이어 미국 테네시 세탁기 공장도 가동 중단했다.대지면적 125만㎡에 건물 연면적 7만7000㎡에 규모의 현지 공장은 약 600여 명이 근무하고 있으며, 월 10만대의 드럼세탁기와 통돌이세탁기를 생산하고 있다. 현재 테네시주 클락스빌은 시민 비상사태를 선포하는 등 이동 제한 등의 조치를 선포한 상태다.LG전자는 이에 앞서 인도  노이다·푸네 가전·스마트폰 생산공장도 다음 달 14일까지 가동 중단하기로 했다.그러나 LG전자는 현지 공장 가동 중단이 장기화 하지 않는 이상 연간 생산량 달성에는 큰 문제가 없을 것으로 본다.업계 관계자는 “코로나19 사태 장기화에 대비해 시나리오별 대응책을 마련해야 한다”면서 “셧다운 상황이 길어지면 수요·공급 측면 모두 타격을 받게 돼 철저한 대비가 필요하다”고 말했다.<저작권자 © ‘돈이 보이는 리얼타임 뉴스’ 머니투데이. 무단전재 및 재배포, AI학습 이용 금지>공감0%비공감0%유영호[email protected]기자의 다른기사이정혁[email protected]기자의 다른기사기자정보
                                                        펼치기기자정보 접기머니투데이 주요뉴스계엄에 15.6조 팔아 치운 외인…파면·원화 강세로 돌아올까?지워지는 尹 흔적들…봉황기 내리고사진 태우더니 홈피도 중단대통령실이 윤석열 전 대통령 파면 이틀째를 맞아 대통령실 홈페이지와 소셜미디어(SNS) 등에서 윤 전 대통령의 흔적 지우기에 나섰다.  대통령실 홈페이지는 5일 오전 운영이 중단됐다. 이날 오후 3시 현재 대통령실 홈페이지에 접속하면 '현재 대통령실 홈페이지 서비스 점검 중입니다. 점검 기간 동안 홈페이지 서비스가 일시중단됩니다'라는 안내문만 나온다.    홈페이지는 윤 전 대통령 소개 및 '사실은 이렇습니다', '국정과제','카드뉴스' 등 메뉴 등으로 이뤄져 있으며, 그동안 윤 정부 정책을 알리는 창구 역할을 해왔다.  윤 전 대...尹 파면나경원, 관저서 尹과 차담…""어려운 시기에 역할 해줘 고맙다""조기대선김문수, 이르면 8일 대선출마 선언...""욕심 없지만 나라 이렇겐 안 돼""침체 공포""주먹구구식 관세율, 트럼프가 직접 선택한 것""PADO달러의 패권은 유지될 것인가?아빠 집 5억 싸게 샀는데…시가보다 싼 매입 증여세 내라?2차대전 핵무기 개발처럼…트럼프가 불 지핀 AI 패권 전쟁강호동이 샀던 그 건물, '166억' 매수자는 MC몽고작 한모금 마시고 목숨 잃었다…코코넛워터 비극, 왜?커피 즐겨 마셨더니 장 속에 '이런 균' 8배 더",http://news.mt.co.kr/mtview.php?no=2020032714482856935
"[2보] 정의선, 현대차·현대모비스 주식 추가 매입…책임경영 강화",연합뉴스,2020/03/24 14:37 송고2020년03월24일 14시37분 송고,"김동규기자구독구독중이전다음현대차 6만5천464주, 현대모비스 3만3천826주(서울=연합뉴스) 김동규 기자 = 정의선 현대차그룹 수석부회장이 책임경영 의지를 강조하기 위해 이틀째 현대차[005380]와 현대모비스[012330] 주식을 매입에 나섰다.현대차와 현대모비스는 24일 정의선 수석부회장이 주식을 약 90억원 어치 매수했다고 공시했다. 현대차 6만5천464주, 현대모비스 3만3천826주다.매입 단가는 현대차 6만8천567원, 현대모비스 13만2천825원이다.정 부회장은 전날에도 현대차 13만9천주, 현대모비스 7만2천552주 등 약 190억원어치 주식을 매입한 바 있다.이미지 확대정의선 현대차그룹 수석부회장[연합뉴스 자료사진]dkkim@yna.co.kr제보는 카카오톡 okjebo<저작권자(c) 연합뉴스,무단 전재-재배포, AI 학습 및 활용 금지>2020/03/24 14:37 송고2020년03월24일 14시37분 송고",http://yna.kr/AKR20200324122551003?did=1195m
"정의선, 817억 규모 현대차·모비스 지분 매입 - 딜사이트",딜사이트,2020.03.26.,본문 추출 실패,https://www.paxnetnews.com/articles/58796
"현대차 남양연구소 사내하청도 실질은 파견근로... 대법 ""직접 고용하라"" - 조선비즈",조선비즈,2020.03.26.,본문 추출 실패,https://biz.chosun.com/site/data/html_dir/2020/03/26/2020032605510.html?utm_source=naver&utm_medium=original&utm_campaign=biz
무디스 “현대차·기아차 신용등급 하향 검토”,이데일리,2020.03.26.,본문 추출 실패,http://www.edaily.co.kr/news/newspath.asp?newsid=04762566625707256
"현대차, 터키 공장도 '셧다운'… 글로벌서 한국·중국만 정상 가동",뉴데일리,입력 2020-03-27 11:18수정 2020-03-27 11:22,"현대차, 터키 공장도 '셧다운'… 글로벌서 한국·중국만 정상 가동박상재 기자입력 2020-03-27 11:18수정 2020-03-27 11:22음성으로 듣기공유하기기사 공유하기페이스북X(트위터)카카오텔레그램네이버밴드메일링크복사https://biz.newdaily.co.kr/site/data/html/2020/03/27/2020032700090.html주소가 복사되었습니다.원하는 곳에 붙여넣기 하세요.글자크기가가가가음성으로 듣기미국과 브라질 이어 러시아, 터키까지 가동 중단코로나19에 도미노 셧다운▲ 현대자동차 서울 양재동 사옥 ⓒ뉴데일리현대자동차 터키 공장이 코로나19(우한폐렴) 확산에 가동을 멈췄다. 해외 생산 거점이 줄줄이 셧다운되면서 한국과 중국만 정상 가동을 유지하게 됐다.27일 현대차에 따르면 터키 공장은 이날부터 휴업에 나섰다. 가동 재개 시기는 아직 정해지지 않았다. 회사 측은 “임직원 안전 등을 고려한 조치”라고 설명했다.러시아 공장은 오는 30일부터 다음달 3일까지 생산라인을 멈추기로 했다. 블라디미르 푸틴 러시아 대통령이 대국민 특별담화를 통해 오는 28일부터 9일간 유급 휴무 기간을 선포한 데 따른 것이다.연간 23만대를 생산할 수 있는 러시아 공장은 현지 전략 차종인 쏠라리스, 스포츠유틸리티차량(SUV) 크레타 등을 만든다.현대차는 이 밖에 미국 앨라배마 공장과 체코, 브라질 공장이 가동을 중단한 상황이다. 정상 가동 중인 곳은 한국과 중국뿐이다.회사 측은 최근 노동조합에 최대 3개월간 최대 주 60시간 근무를 위한 실무협의를 제안하는 등 생산 차질 회복에 나서고 있다.박상재 기자이메일 보내기기자의 다른기사 더보기Copyrights ⓒ 2005 뉴데일리 NewDaily무단전재·재배포 금지press@newdaily.co.kr보도자료 및 기사제보뉴데일리 댓글 운영정책라이브리 댓글 작성을 위해 Javascript를 활성화 해주세요.이 시각 주요뉴스경제 석학들 ""컨트롤타워 부재로 당분간 혼란 불가피 … 이재명 사법리스크 경제 불확실성 키울 것""4일 윤석열 대통령의 파면 선고 결과를 접한 경제 석학들은 일제히 우리 경제의 앞날을 어둡다고 전망했다. 가뜩이나 미국 트럼프 2기 정부의 '관세 폭격'에 따른 금융시장 혼돈은 물론 수출·물가·환율 삼중고 양상으로 ..트럼프發 '관세전쟁' 격화에 美증시 이틀째 패닉셀 … 다우 5.5%↓尹 탄핵 후 코스피 하락하고 환율은 급등 … 금융시장 불확실성 당분간 이어진다관세 격랑 속 조기 대선 정국 … 기업들, 콘트롤타워 부재 불안 최고조의료개혁 노선 변경 불가능 … 외려 '공공의료' 압박 커진다윤서인의 뉴데툰스케줄284화: 아이돌 스케줄(X) 혁명가 스케줄(O)새벽N 뉴스레터자동차많이 본 기사01""국내 투자도 미국처럼"" … 현대차 노조 때아닌 몽니에 '시끌'02현대차 휴머노이드 ""자동차조립, 사람보다 낫네' … 노조 리스크 완화될까03한국서 '벤비아' 쓸어가는 러시아 업자들 … 밀수국 찍힐라04아토3 줄줄이 계약 취소 … BYD, 싸늘한 韓 민심 어쩌나05정의선 31조 통 큰 결단 … 글로벌 완성차 새 판 짠다06車 상호 관세 면제 … 정의선, 美 투자 선구안 들어맞았다07현대차그룹 잇따른 산업재해에 긴장 … 경영 리스크 부각되나08BYD, 작년 정부 보조금만 2.1조 … 허탈한 K-배터리09정의선, 백악관서 ""31조 對美 투자 … 루이지애나 제철소 짓겠다""10테슬라 정조준한 정의선 … 트럼프, 조지아 HMGMA 찾을 가능성은전국뉴스대구·경북경북도, 대형산불 피해주민 보호대책과 지원방안 논의충청·세종[충청브리핑] 헌재, 尹 탄핵 선고 초읽기… ‘파면이냐 복귀냐’ 정치권 긴장호남·제주김영록 도지사, “국가적 비상 … 개척정신으로 발전 선도해야”경기·인천인천 1분기 인구 증가율 전국 최고 … 출생아수 증가 수치도 1위부산·경남부산시, 올해 역대 최대 19만2000개 일자리 창출한다강원중앙재난안전대책본부, '강원도 산불 예방대책' 우수사례로 선정뉴데일리 경제많이 본 기사01尹 탄핵 후 코스피 하락하고 환율은 급등 … 금융시장 불확실성 당분간 이어진다02의료개혁 노선 변경 불가능 … 외려 '공공의료' 압박 커진다03'美관세·尹탄핵'에 30원 넘게 급락 … 환율 1430원대 마감04의료계 총공세 벌써부터 시작 … ""의료개혁 중단""05[속보] 원·달러 환율 32.9원 내린 1434.1원 마감 … 정치적 불확실성 일부 해소06국정공백 두 달 더… 애타는 수출 중소기업07경제 석학들 ""컨트롤타워 부재로 당분간 혼란 불가피 … 이재명 사법리스크 경제 불확실성 키울 것""08트럼프發 '관세전쟁' 격화에 美증시 이틀째 패닉셀 … 다우 5.5%↓09탄핵 정국에 막혔던 소비 살아날까 … 봄 기다리는 유통업계10발 등의 불 끄게 된 금융권 … 은행‧보험 자본건전성 위협 완화될까",http://biz.newdaily.co.kr/site/data/html/2020/03/27/2020032700090.html
"정의선 수석부회장, 5일간 817억원어치 현대차·현대모비스 주식 매입 - 전자신문",전자신문,발행일 : 2020-03-26 12:26,"정의선 현대차그룹 수석부회장이 최근 5일 동안 현대차와 현대모비스 주식을 817억원어치 매입했다.정의선 현대차그룹 수석부회장.26일 현대차그룹 공시에 따르면 정의선 수석부회장은 19일부터 25일까지 거래일 닷새 동안 현대차 주식 405억7000만원, 현대모비스 주식 411억원어치를 매수했다. 주식 수로는 현대차와 현대모비스 각각 58만1333주, 30만3759주다. 평균 매입단가는 각각 6만9793원과 13만5294원이다.5일간 주식 매입으로 정 부회장의 지분은 현대차는 2.62%로 0.27%포인트 늘었고, 현대모비스는 0%에서 0.32%로 커졌다. 이는 의결권 있는 보통주 기준이다.이날 현대차와 현대모비스 주가는 8만5000원과 17만원선이다. 정 부회장은 현대차와 현대모비스 주식을 매일 거의 같은 금액만큼 사들였다.19일에는 각각 95억원씩 매수하며 시작했고, 매입규모가 가장 큰 23일엔 현대차 196억원, 현대모비스 201억원어치를 샀다. 정의선 부회장은 배당소득 등 자기자금으로 주식을 취득했다고 밝혔다.현대차그룹 관계자는 “금융시장이 불안정한 상황에 책임경영 의지를 밝힌 것으로, 지배구조와는 무관한 결정이다”고 말했다. 또 정 부회장이 주식을 처분할 계획이 없기 때문에 주가상승에 따른 차익도 별 의미가 없다는 설명이다.정의선 수석부회장은 지난해 현대차와 현대모비스 대표이사에 올랐으며 올해는 현대차 이사회 의장직을 물려받았다.정 부회장의 현대차 주식 매입은 2015년 현대중공업과 현대삼호중공업이 보유한 현대차 주식을 매입한 이후 4년 반 만이고, 현대모비스는 이번이 처음이다.박태준기자 gaius@etnews.com",http://www.etnews.com/20200326000184
"대법 ""현대차 남양연구소 하청근로자, 직접 고용하라""",이투데이,2020.03.26.,입력 2020-03-26 16:30,http://www.etoday.co.kr/news/section/newsview.php?idxno=1875923
"현대차, 화상면접 확대… 신규채용 재개",파이낸셜뉴스,16면 1단,본문 추출 실패,http://www.fnnews.com/news/202003261651466969
[종합] 정몽구 현대차그룹 회장 보수 26% 감소…정의선 부회장은 76%↑,이투데이,2020.03.30.,본문 추출 실패,http://www.etoday.co.kr/news/section/newsview.php?idxno=1877384
"현대차, 2020 글로벌 인턴 모집",newsis,2025.04.05 (토),"[서울=뉴시스] 이종희 기자 = 현대자동차가 신종 코로나바이러스 감염증(코로나19)로 인해 얼어붙은 채용 시장에도 불구하고 국내외 인재들에게 다양한 직무 경험의 기회를 제공한다.현대차가 5월5일까지 채용 홈페이지를 통해 ▲데이터 분석 ▲자율주행 ▲연료전지 ▲로보틱스 등 다양한 미래사업분야의 글로벌 인턴십 채용을 진행한다고 29일 밝혔다.'2020 글로벌 인턴십'은 ▲직무 경험, 탐색 기회를 가지는 연구 인턴 ▲실습 종료 후 평가 우수자를 대상으로 채용 혜택을 부여하는 채용전환형 인턴 두 가지로 진행된다.모집 직무는 총 26개로 연구 인턴 19개 직무(▲자율주행 시스템 기술 개발 ▲연료전지시스템 설계 및 제어 ▲데이터 분석 ▲신사업·전략 기획 등), 채용전환형 인턴 7개 직무(▲로봇 알고리즘 개발 ▲로봇 네비게이션 기술 개발 ▲상용 마케팅 ▲데이터 플랫폼 개발 등)이다.모집 대상은 ▲연구 인턴의 경우 해외 및 국내 학/석사 기졸업자 또는 재·휴학생(학년무관), 박사 재학생(졸업생 제외) ▲채용전환형 인턴의 경우 실습 종료 후 입사 가능한 자로, 해외 및 국내 학·석사 기졸업자 또는 2020년 내 졸업예정자이다. 분야별 상세 자격요건과 수행직무 등 세부사항은 현대차 채용 홈페이지를 통해 확인할 수 있다.지원자 안전 및 편의를 위해 면접 전형은 화상으로 진행되며, 지원자는 2차수로 나누어지는 실습 프로그램 중 하나의 차수를 자율적으로 선택할 수 있다.글로벌 인턴십에 선발된 인원은 직무 중심의 실습 프로그램 참여와 함께 오리엔테이션, 정기 그룹 활동 등을 통해 국내외 인재 네트워크를 구축한다.또한 현대차의 방향성인 '모빌리티 솔루션 프로바이더(Mobility Solution Provider)'와 관련된 다양한 기회를 제공받으며 ▲임원들과 현대차의 비전을 공유하는 자리인 비전 토크 ▲현대차 기술을 체험하는 테크 익스피리언스 ▲제네시스 스튜디오, 현대 모터스튜디오 견학 등의 프로그램에 참여할 예정이다.현대차는 인턴십 수료 결과에 따라 평가 우수자에게는 채용 전환(채용전환형 인턴·연구 인턴), 추후 지원 시 최종 면접 기회 부여(연구 인턴) 등 다양한 혜택을 부여할 계획이다.현대차 관계자는 ""코로나19로 인해 인턴십과 채용 기회가 감소하는 상황에서도 국내외 대학생 및 유학생들에게 자동차 산업의 변화, 현대차의 전략 방향성을 체험하는 기회를 제공할 것""이라며 ""미래 사업분야 우수 인재 발굴, 글로벌 인적 네트워크를 구축하는 기회로 삼을 예정""이라고 말했다.◎공감언론 뉴시스[email protected]",http://www.newsis.com/view/?id=NISX20200429_0001009657&cID=13001&pID=13000
"""인재확보 멈춤 없다"" 현대차, 인턴부터 경력직까지 채용문 '활짝' - 경제 | 기사 - 더팩트",더팩트언론사 선정,2020.04.29.,본문 추출 실패,http://news.tf.co.kr/read/economy/1791807.htm
"현대차, '미래 도심 항공 모빌리티' 연구개발 인력 뽑는다 - 전자신문",전자신문언론사 선정,발행일 : 2020-04-29 08:57,"현대자동차가 UAM(Urban Air Mobility : 도심 항공 모빌리티)분야 선행 기술 확보를 위해 인재 채용에 나선다고 29일 밝혔다.UAM은 PAV(Personal Air Vehicle : 개인용 비행체)를 활용해 하늘을 통로로 사용하는 미래형 모빌리티다. 현대차는 이번 채용으로 UAM 연구와 상용 기술 개발을 통해 2028년까지 UAM 시장에 진입한다는 목표다. 도심 항공 모빌리티 분야의 채용은 국내에서 현대차가 처음이다.현대차는 이날부터 5월 13일까지 2주 동안 현대차 채용 홈페이지를 통해 온라인으로 접수를 받는다. 모집 직무는 26개로 UAM 연구개발 분야의 △기체 구조 설계 △기체 구조 해석 △전기체 시스템 통합 △재료 공정 개발 △소프트웨어 설계 △컨셉 설계 등이다.모집 대상은 올해 입사 가능한 대졸 이상의 경력자로 자격 요건과 수행 직무 등 세부사항은 현대차 채용 홈페이지를 통해 확인할 수 있다.현대차는 올해 1월 미국 라스베이거스.에서 열린 2020 CES에서 공개한 도심형 항공 등 미래 모빌리티.현대차 관계자는 “UAM 시장에서 주도권을 갖기 위해서는 우수한 인재의 영입이 무엇보다 중요하다”며 “현대차는 착륙장치 및 관리 시스템 개발, 품질 관리 등 다양한 분야로 채용을 확대해 인재 확보에 적극적으로 나설 것”이라고 밝혔다.한편, 현대차는 올해 1월 미국 라스베이거스에서 열린 '2020 CES'에서 미래 모빌리티 비전 구현을 위한 차기 사업으로 UAM을 제시하며 고객에게 끊김없는(Seamless) 이동의 자유로움과 차별화된 경험을 제공할 것이라고 밝혔다.현대차는 이를 위해 지난해 9월 UAM 사업부를 신설해 미 항공 우주국(NASA) 출신 신재원 박사를 부사장으로, 올해 1월에는 항공 컨설팅 회사 '어센션 글로벌' 대표인 파멜라 콘 상무를 글로벌 전략·운영 담당으로 임명하는 등 인재 영입에 힘을 쏟고 있다.박태준기자 gaius@etnews.com",http://www.etnews.com/20200429000027
"'제네시스 디자인 총괄' 동커볼케, 현대차 떠난다",로고,2020.04.29|13:20:34,"'제네시스 디자인 총괄' 동커볼케, 현대차 떠난다전민준 기자4,4342020.04.29|13:20:34공유하기카카오카카오 나에게페이스북트위터네이버텔레그램링크 복사카카오톡카카오톡나에게페이스북트위터네이버카페블로그텔레그램링크복사루크 동커볼케 현대자동차 디자인센터장./사진=뉴스1“이상적인 디자인 조직의 구성, 미래 디자인 DNA 구축, 디자인 프로세스의 디지털화 과정에서 현대차그룹이 보여준 신뢰는 잊을 수 없을 것”GV80, G80 등 제네시스 차세대 디자인 철학을 완성한 루크 동커볼케 부사장이 현대자동차를 떠난다. 2015년 11월 현대차 디자인센터장으로 합류한지 4년 5개월 만이다.29일 현대차그룹에 따르면 루크 동커볼케 디자인 담당 부사장은 일신상 이유로 사임했다. 벤틀리 수석 디자이너 출신인 동커볼케 부사장은 2015년 11월 현대차 디자인센터장으로 합류했다. 당시 현대차는 제네시스 브랜드로 고급차 시장 진출을 선언하면서 그를 영입하는 승부수를 뒀다.그는 2018년 10월부터 현대차와 기아차, 제네시스 브랜드의 디자인을 총괄하며 차세대 디자인 전략을 수립하고 개발했다. 재임 중 출시된 차량들이 세계 3대 디자인상인 iF, 레드닷, IDEA 디자인상을 잇달아 석권했다. 동커볼케 부사장은 “현대차그룹 구성원들께 깊은 감사를 드리고 지속적인 발전을 기원한다”고 말했다.현대·기아차 연구개발본부장 알버트 비어만 사장은 “현대차, 기아차, 제네시스 디자인을 성공적으로 탈바꿈시킨 탁월한 리더로, 우리 모두에게 커다란 영감을 줬다”고 평가했다. 이후 디자인 부문은 현대디자인담당 이상엽 전무와 기아디자인담당 카림 하비브 전무 체제로 운영된다.<저작권자 ⓒ ‘성공을 꿈꾸는 사람들의 경제 뉴스’ 머니S, 무단전재 및 재배포 금지><보도자료 및 기사 제보 ([email protected])>전민준 기자[email protected]안녕하세요 머니S 전민준 기자입니다.이 기자의 다른 기사 보기주요뉴스베트남·인도 상호관세 폭탄… 생산기지 둔 삼성·LG전자 울상'이게 무슨일'… 김수현 나온 '리얼' 8년만에 OTT 순위권 진입주유소 휘발유 가격 9주째 내림세… 하락폭은 둔화자동차 부품업계 ""현대차·기아가 잘 나가야 모두가 성장한다""유리에 붙은 미래 모빌리티… 놀라운 현대모비스의 신기술",http://moneys.mt.co.kr/news/mwView.php?no=2020042913118044128
