제목,언론사,날짜,본문,링크,감성점수
"쿼드메디슨-LG화학, 마이크로니들 백신 개발 위한 MOU 체결",머니투데이,2020.01.28 11:00,"2020.01.28 11:00문서프린트글자크기글자크기조절가나다라마가나다라마가나다라마가나다라마가나다라마쿼드메디슨과 LG화학은 최근 국내 최초로 마이크로니들 백신 임상시험을 실시하고자 공식 업무협약을 포함한 양해각서(MOU)를 체결했다고 28일 밝혔다.양 기관은 이번 MOU를 통해 LG화학의 백신과 쿼드메디슨의 마이크로니들 제작 기술을 바탕으로 '백신용 마이크로니들 생산 및 관련 사업화'를 구체화할 계획이다.이번 업무협약은 쿼드메이슨이 약물 제형 기술을 비롯해 정량 전달 기술, 대량생산이 가능한 양산화 기술 등 마이크로니들 상용화에 필요한 기술과 시설을 모두 확보했기 때문에 추진될 수 있었다.마이크로니들은 1㎜ 이하 수백 마이크로미터의 사각뿔 형태를 다수 배열한 구조체로, 피부 각질층을 통과해 통증 없이 유효 성분을 피부층에 직접 전달한다.이는 근육이나 정맥, 피하로 약물을 투입하는 주사기보다 간편하며, 유통도 편리해 주사기를 대체하는 미래 유망 기술 중 하나로 손꼽히고 있다.이처럼 세계적으로 급성장하고 있는 의료용 마이크로니들 분야에서 쿼드메디슨은 원천 기술을 보유하고 있다. 특히 자체 기술을 통해 상온에서 장기간 보관 가능하고, 주사기가 필요 없는 'pain-free 마이크로니들 백신'으로 전세계 백신 보급에 기여할 계획이다.이와 함께 LG화학은 전세계 영유아 보건 문제 해결을 위해 앞장서고 있다. 지난 1996년 국내 최초로 유전자 재조합 B형간염 백신 '유박스'의 WHO PQ 승인 후 지난 20년간 유니세프 입찰 등을 통해 80여개국·2억명 이상의 영유아에게 공급했다.또한 지난 2016년 개발한 5가 혼합백신 '유펜타'는 유니세프의 2017~2019년 정규 입찰을 통해 전세계 영유아 약 3000만 명의 질병 예방에 기여하고 있다. 현재는 소아마비 백신과 6가 혼합백신을 개발 중이다.<저작권자 © ‘돈이 보이는 리얼타임 뉴스’ 머니투데이. 무단전재 및 재배포, AI학습 이용 금지>공감0%비공감0%머니투데이 주요뉴스삼성전자 호실적에 주가 껑충…개미 ""매수"", 외인·기관 ""매도""오픈런 성지 아니었어?…불황도 뚫던이곳, 뜻밖의 '역성장' 이유━[단독]""이런 적 없었는데"" 편의점 비상…코로나 이후 첫 '매출 역성장'━- 1월에 나홀로 1%대 성장하더니 2월 들어 4.6% '역성장'   지난 2월 편의점 매출이 1년 전보다 5% 가까이 줄었다. 편의점이 역성장한 건 코로나19 유행이 시작된 2020년 2월과 3월 이후 처음이다. 코로나19라는 특수한 상황을 제외하면 업계에서는 1988년 국내에서 편의점이 문을 연 이후 37년 만에 처음 경험하는 역성장이라고 평가한다.   7일 산업통상자원부가 발표한 2월 주요 유통업체 매출동향에 따르면 편의점 매출은 전년...""시장 녹는다"" 측근의 말, 트럼프 움직였다…""관세정책, 곧 최종단계""한덕수, 마은혁 헌법재판관 임명…이완규·함상훈 재판관도 지명대통령 선거 6월3일로 확정…선거 당일 임시공휴일로 지정한다고환율·가계빚 우려…한은 '4월 금리인하' 가능성""10조 재검토"" ""찔끔 추경""…국민의힘·민주당, 규모 확대 '한목소리'중국 금 보유량 '사상 최고치' 경신…외환보유액은 3조2407억달러""백종원 만나게 해줄게""…더본, 여성 지원자 '술자리 면접' 논란""도와주세요"" 희미한 목소리 찾기까지 단 10분…한 생명 구했다배부른 비단뱀, 잔디 위 가만히…""어머니!"" 배 갈라본 인니 가족들 참담",http://news.mt.co.kr/mtview.php?no=2020012810497448724,4
"[바이오시밀러(복제 바이오의약품) 테마종목 종가] LG화학,셀트리온제약 등이 주도",내외경제tv,2020.01.30.,기자명NBN데이터 1팀입력 2020.01.30 15:44댓글 0,http://nbntv.co.kr/news/view/838795,4
"대한항공‧LG화학, 온실가스 감축‧E사용량 절감 1위",투데이에너지,2020.01.29.,"이전 기사보기다음 기사보기대한항공‧LG화학, 온실가스 감축‧E사용량 절감 1위바로가기복사하기본문 글씨 줄이기본문 글씨 키우기스크롤 이동 상태바환경대한항공‧LG화학, 온실가스 감축‧E사용량 절감 1위E컨슈머‧UNEP 그리닝 더 컴퍼니 선정기자명류희선 기자입력 2020.01.29 19:30댓글 0다른 공유 찾기바로가기본문 글씨 키우기본문 글씨 줄이기이 기사를 공유합니다페이스북(으)로 기사보내기트위터(으)로 기사보내기카카오톡(으)로 기사보내기네이버블로그(으)로 기사보내기URL복사(으)로 기사보내기닫기[투데이에너지 류희선 기자] 대한항공과 LG화학이 온실가스 감축과 에너지사용량 절약 부분 평가에서 각각 1위를 차지했다.에너지 소비자단체인 사단법인 E 컨슈머 (회장 김재옥)는 UN Environmental Program(UNEP)과 함께 국내 100대 기업을 대상으로 온실가스 감축 부문과 에너지사용량 절약부문을 평가해 ‘그리닝 더 컴퍼니(GREENING the COMPANY)’를 선정했다.E컨슈머는 기업이 지속 가능한 사회를 위해 노력하고 선한 가치를 공유함으로써 소비자, 기업이 함께 사회 전체의 가치를 높이도록 국내 100대 기업의 온실가스 감축과 에너지절약을 평가하고 있다.평가결과 전년대비 온실가스 감축을 가장 많이 한 기업은 대한항공이 선정됐다. 이어 S-oil, 포스코, SK에너지, GS칼텍스 순으로 나타났다.에너지사용량을 가장 많이 줄인 기업은 LG화학이 선정됐으며 롯데케미칼, 삼성 SDI, 포스코, GS칼텍스가 뒤를 이었다.삼성전자와 현대자동차는 2018년 매출량대비 온실가스 배출과 에너지사용량이 2017년보다 증가한 것으로 밝혀졌다.또한 온실가스 감축 할당량이 있는 산업인 철강과 에너지 등은 대부분 온실가스 배출과 에너지사용량이 감소했으나 금융권(은행, 보험, 증권)은 2018년 매출량대비 온실가스 배출과 에너지사용량이 2017년보다 증가한 기업이 더 많은 것으로 나타났다.류희선 기자hsryu@tenews.kr저작권자 © 투데이에너지 무단전재 및 재배포 금지좋아요0훈훈해요0슬퍼요0화나요0후속기사 원해요0공유이메일기사저장이 시각추천뉴스일본, LNG선 대거 발주 가능성600조 투자 '용인 반도체 클러스터' 전력·용수 공급""트럼프 관세, 구리가 다음 타겟될 가능성""미 에너지부, 전력망 보호· 송전 확대에 20억달러 추가 투입글로벌 해운업계, LPG 선박 285척 이상 발주·도입 가속화유럽, 2025년 러시아 LNG 환적 금지[에너지 인사이트] K 배터리, 2025년 글로벌 점유율 40%이상 증가 전망일본, LNG선 대거 발주 가능성개의 댓글회원로그인작성자비밀번호댓글 내용입력0/ 400등록댓글 정렬최신순추천순답글순BEST댓글BEST 댓글답글과 추천수를 합산하여 자동으로 노출됩니다.닫기더보기댓글삭제삭제한 댓글은 다시 복구할 수 없습니다.그래도 삭제하시겠습니까?비밀번호삭제닫기댓글수정댓글 수정은 작성 후 1분내에만 가능합니다.본문/ 400비밀번호수정닫기내 댓글 모음닫기주요기사미래기술교육硏, 데이터 센터(DC) 냉각시스템 개발 및 구축 사례세미나 개최전남TP, '찾아가는 이동상담소' 운영히트펌프얼라이언스, 공기열원히트펌프분과 신설 및 연구 강화 추진KTC, 수소차 충전기 업계 기술간담회 개최엔지니어링協, 산불 피해 복구 성금 전달히트펌프, 지속 가능한 미래 에너지 효율의 선두주자",http://www.todayenergy.kr/news/articleView.html?idxno=221972,5
"[09시 15분 아이폰 오전의 테마종목] LG화학,삼성SDI 등이 상승세 주도",내외경제tv,2020.01.30.,기자명NBN데이터 1팀입력 2020.01.30 09:15댓글 0,http://nbntv.co.kr/news/view/836602,4
"LG화학주식추천주  29일  현재 336,000원",내외경제tv,2020.01.29.,기자명NBN데이터 1팀입력 2020.01.29 11:14댓글 0,http://nbntv.co.kr/news/view/834913,5
"[석유화학 테마주-마감] SKC,LG화학 등이 주도",내외경제tv,2020.01.30.,기자명NBN데이터 1팀입력 2020.01.30 15:45댓글 0,http://nbntv.co.kr/news/view/838802,4
"LG화학우(051915), 30일 3.32%변화",공감신문,2020.01.30.,본문 추출 실패,http://www.gokorea.kr/news/articleView.html?idxno=655120,1
"[더벨]LG화학, 배터리 양적 성장 키워드 'JV·분사·공급망'",더벨,2020.01.29.,본문 추출 실패,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=202001281257233480108657,5
"[30일 외국인 순매수 Top 10] LG화학 280억, 삼성물산 60억, 웅진코웨이 48억, KT 27억 외국인 순매수 나서…코스닥 시장에서는 슈프리마, 젬백스, 비에이치 상위 종목으로 장 마감.",파이낸셜포스트,2020.01.30.,기자명김태연 기자입력 2020.01.30 20:00댓글 0,http://www.fintechpost.co.kr/news/articleView.html?idxno=100019,5
"[석유화학 테마 오전 시황] 상승률 상위 종목, SKC +3.44%·LG화학 +2.84%·...",공감신문,2020.01.30.,본문 추출 실패,http://www.gokorea.kr/news/articleView.html?idxno=654582,3
